time,station,part_id,activity
2025-07-25T10:45:31.349159,S2,P5,PROCESS
2025-07-25T10:45:32.040096,S4,P3,TRANSFER
2025-07-25T10:45:33.409238,S3,P4,LOAD
2025-07-25T10:45:35.756580,S2,P5,UNLOAD
2025-07-25T10:45:37.411236,S3,P4,PROCESS
2025-07-25T10:45:37.550109,S2,P5,TRANSFER
2025-07-25T10:45:39.898990,S1,P9,UNLOAD
2025-07-25T10:45:40.475027,S5,P11,UNLOAD
2025-07-25T10:45:42.136293,S5,P11,BLOCK
2025-07-25T10:45:42.540154,S1,P9,TRANSFER
2025-07-25T10:45:42.931384,S1,P7,LOAD
2025-07-25T10:45:43.364729,S5,P11,TRANSFER
2025-07-25T10:45:43.537021,S5,P12,LOAD
2025-07-25T10:45:44.360175,S3,P4,UNLOAD
2025-07-25T10:45:46.823003,S5,P12,PROCESS
2025-07-25T10:45:46.885860,S2,P9,LOAD
2025-07-25T10:45:47.045187,S3,P4,TRANSFER
2025-07-25T10:45:47.096333,S1,P7,PROCESS
2025-07-25T10:45:50.287992,S2,P9,PROCESS
2025-07-25T10:45:52.303265,S3,P5,LOAD
2025-07-25T10:45:54.531065,S2,P9,UNLOAD
2025-07-25T10:45:56.278092,S3,P5,PROCESS
2025-07-25T10:45:56.386894,S2,P9,TRANSFER
2025-07-25T10:45:59.481175,S1,P7,UNLOAD
2025-07-25T10:45:59.652443,S5,P12,UNLOAD
2025-07-25T10:46:01.323541,S5,P12,BLOCK
2025-07-25T10:46:02.063428,S1,P7,TRANSFER
2025-07-25T10:46:02.453318,S1,P8,LOAD
2025-07-25T10:46:02.845527,S5,P12,TRANSFER
2025-07-25T10:46:03.017153,S5,P1,LOAD
2025-07-25T10:46:03.332194,S3,P5,UNLOAD
2025-07-25T10:46:06.062856,S3,P5,TRANSFER
2025-07-25T10:46:06.260772,S5,P1,PROCESS
2025-07-25T10:46:06.693671,S1,P8,PROCESS
2025-07-25T10:46:06.876015,S2,P7,LOAD
2025-07-25T10:46:10.221581,S2,P7,PROCESS
2025-07-25T10:46:10.705321,S4,P9,LOAD
2025-07-25T10:46:13.979487,S4,P9,PROCESS
2025-07-25T10:46:15.507900,S2,P7,UNLOAD
