time,station,part,activity
2025-07-01T17:58:31.463539,S5,P6,LOAD
2025-07-01T17:58:33.252259,S2,P9,UNLOAD
2025-07-01T17:58:33.619221,S3,P5,PROCESS
2025-07-01T17:58:34.709514,S5,P6,PROCESS
2025-07-01T17:58:35.163226,S2,P9,TRANSFER
2025-07-01T17:58:37.264478,S1,P11,UNLOAD
2025-07-01T17:58:39.917856,S1,P11,TRANSFER
2025-07-01T17:58:40.009006,S3,P5,UNLOAD
2025-07-01T17:58:40.321910,S1,P12,LOAD
2025-07-01T17:58:42.773800,S3,P5,TRANSFER
2025-07-01T17:58:44.499812,S1,P12,PROCESS
2025-07-01T17:58:44.628703,S2,P11,LOAD
2025-07-01T17:58:47.480500,S5,P6,UNLOAD
2025-07-01T17:58:47.859499,S2,P11,PROCESS
2025-07-01T17:58:49.198544,S5,P6,TRANSFER
2025-07-01T17:58:49.507568,S3,P9,LOAD
2025-07-01T17:58:49.607825,S5,P5,LOAD
2025-07-01T17:58:51.714777,S2,P11,UNLOAD
2025-07-01T17:58:52.819995,S5,P5,PROCESS
2025-07-01T17:58:53.500420,S3,P9,PROCESS
2025-07-01T17:58:53.589373,S2,P11,TRANSFER
2025-07-01T17:58:57.800569,S1,P12,UNLOAD
2025-07-01T17:59:00.140784,S3,P9,UNLOAD
2025-07-01T17:59:00.418172,S1,P12,TRANSFER
2025-07-01T17:59:00.847205,S1,P6,LOAD
2025-07-01T17:59:02.904486,S3,P9,TRANSFER
2025-07-01T17:59:03.993897,S5,P5,UNLOAD
2025-07-01T17:59:05.008217,S1,P6,PROCESS
2025-07-01T17:59:05.280018,S2,P12,LOAD
2025-07-01T17:59:05.767516,S5,P5,TRANSFER
2025-07-01T17:59:06.289916,S5,P9,LOAD
2025-07-01T17:59:07.724312,S3,P11,LOAD
2025-07-01T17:59:08.462098,S2,P12,PROCESS
2025-07-01T17:59:09.407269,S5,P9,PROCESS
2025-07-01T17:59:11.699674,S3,P11,PROCESS
2025-07-01T17:59:13.992655,S2,P12,UNLOAD
2025-07-01T17:59:15.845423,S2,P12,TRANSFER
2025-07-01T17:59:16.176571,S1,P6,UNLOAD
2025-07-01T17:59:18.764709,S3,P11,UNLOAD
2025-07-01T17:59:18.795884,S1,P6,TRANSFER
2025-07-01T17:59:19.166571,S1,P5,LOAD
2025-07-01T17:59:21.484052,S3,P11,TRANSFER
2025-07-01T17:59:21.570600,S5,P9,UNLOAD
2025-07-01T17:59:23.323785,S1,P5,PROCESS
2025-07-01T17:59:23.384536,S5,P9,TRANSFER
2025-07-01T17:59:23.482143,S2,P6,LOAD
2025-07-01T17:59:24.300136,S5,P11,LOAD
2025-07-01T17:59:26.717310,S2,P6,PROCESS
2025-07-01T17:59:27.430407,S5,P11,PROCESS
2025-07-01T17:59:30.199729,S3,P12,LOAD
2025-07-01T17:59:31.876932,S2,P6,UNLOAD
2025-07-01T17:59:33.679293,S2,P6,TRANSFER
2025-07-01T17:59:34.180799,S3,P12,PROCESS
2025-07-01T17:59:35.293255,S1,P5,UNLOAD
2025-07-01T17:59:37.957252,S1,P5,TRANSFER
2025-07-01T17:59:38.349937,S1,P9,LOAD
2025-07-01T17:59:40.408198,S3,P12,UNLOAD
2025-07-01T17:59:40.709940,S5,P11,UNLOAD
2025-07-01T17:59:42.442634,S5,P11,TRANSFER
2025-07-01T17:59:42.483955,S1,P9,PROCESS
2025-07-01T17:59:42.562086,S2,P5,LOAD
2025-07-01T17:59:43.249652,S3,P12,TRANSFER
2025-07-01T17:59:45.699476,S2,P5,PROCESS
2025-07-01T17:59:46.108003,S5,P12,LOAD
2025-07-01T17:59:47.934293,S3,P6,LOAD
2025-07-01T17:59:49.184481,S5,P12,PROCESS
2025-07-01T17:59:51.225260,S2,P5,UNLOAD
2025-07-01T17:59:51.902135,S3,P6,PROCESS
2025-07-01T17:59:52.874354,S1,P9,UNLOAD
2025-07-01T17:59:53.105343,S2,P5,TRANSFER
2025-07-01T17:59:55.494066,S1,P9,TRANSFER
2025-07-01T17:59:55.920204,S1,P11,LOAD
2025-07-01T17:59:58.286078,S3,P6,UNLOAD
2025-07-01T18:00:00.087389,S2,P9,LOAD
